"table_name"	"column_name"	"data_type"	"character_maximum_length"	"column_default"	"is_nullable"
"answer"	"id"	"uuid"		"uuid_generate_v4()"	"NO"
"answer"	"content"	"text"		""	"NO"
"answer"	"post_id"	"uuid"		""	"NO"
"answer"	"created_at"	"timestamp with time zone"		"CURRENT_TIMESTAMP"	"YES"
"answer"	"updated_at"	"timestamp with time zone"		"CURRENT_TIMESTAMP"	"YES"
"customers"	"id"	"uuid"		"uuid_generate_v4()"	"NO"
"customers"	"name"	"character varying"	256	""	"NO"
"customers"	"email"	"character varying"	256	""	"NO"
"customers"	"phone"	"character varying"	50	""	"YES"
"customers"	"address"	"text"		""	"YES"
"customers"	"created_at"	"timestamp with time zone"		"CURRENT_TIMESTAMP"	"YES"
"customers"	"updated_at"	"timestamp with time zone"		"CURRENT_TIMESTAMP"	"YES"
"forum_posts"	"id"	"uuid"		"uuid_generate_v4()"	"NO"
"forum_posts"	"topic_id"	"uuid"		""	"NO"
"forum_posts"	"content"	"text"		""	"NO"
"forum_posts"	"image_urls"	"ARRAY"		""	"YES"
"forum_posts"	"author_id"	"uuid"		""	"NO"
"forum_posts"	"author_name"	"character varying"	256	""	"NO"
"forum_posts"	"created_at"	"timestamp with time zone"		"CURRENT_TIMESTAMP"	"YES"
"forum_posts"	"updated_at"	"timestamp with time zone"		"CURRENT_TIMESTAMP"	"YES"
"forum_posts"	"is_deleted"	"boolean"		"false"	"NO"
"post"	"id"	"uuid"		"uuid_generate_v4()"	"NO"
"post"	"title"	"character varying"	256	""	"NO"
"post"	"content"	"text"		""	"NO"
"post"	"customer_id"	"uuid"		""	"NO"
"post"	"created_at"	"timestamp with time zone"		"CURRENT_TIMESTAMP"	"YES"
"post"	"updated_at"	"timestamp with time zone"		"CURRENT_TIMESTAMP"	"YES"
"topics"	"id"	"uuid"		"uuid_generate_v4()"	"NO"
"topics"	"subject"	"character varying"	256	""	"NO"
"topics"	"thumbnail_url"	"text"		""	"NO"
"topics"	"created_at"	"timestamp with time zone"		"CURRENT_TIMESTAMP"	"YES"
"topics"	"updated_at"	"timestamp with time zone"		"CURRENT_TIMESTAMP"	"YES"
"topics"	"created_by"	"uuid"		""	"NO"
"topics"	"is_active"	"boolean"		"true"	"NO"
